38.64	1.677	58.75	3.66	2.17	139.42	21.76	5	5	38.10
38.71	1.674	57.70	3.66	2.17	139.79	21.78	5	5	38.07
37.94	1.708	61.58	3.70	2.21	135.64	21.56	5	5	38.45
38.66	1.676	60.92	3.66	2.17	139.54	21.76	5	5	38.09
39.51	1.64	56.74	3.62	2.13	144.16	22.00	5	5	37.68
39.20	1.653	57.50	3.64	2.14	142.47	21.91	5	5	37.83
39.75	1.63	57.81	3.61	2.11	145.49	22.07	5	5	37.56
38.92	1.665	60.85	3.65	2.16	140.93	21.83	5	5	37.97
39.06	1.659	56.39	3.64	2.15	141.70	21.87	5	5	37.90
38.25	1.694	60.80	3.68	2.20	137.33	21.65	5	5	38.29
38.80	1.67	58.20	3.66	2.17	140.30	21.80	5	5	38.02
39.68	1.633	58.18	3.62	2.12	145.09	22.05	5	5	37.60
38.66	1.676	60.14	3.66	2.17	139.54	21.76	5	5	38.09
39.20	1.653	61.55	3.64	2.14	142.47	21.91	5	5	37.83
39.51	1.64	57.07	3.62	2.13	144.16	22.00	5	5	37.68
39.51	1.64	57.66	3.62	2.13	144.16	22.00	5	5	37.68
39.23	1.652	60.20	3.64	2.14	142.60	21.92	5	5	37.82
38.57	1.68	65.87	3.67	2.18	139.05	21.74	5	5	38.14
38.32	1.691	60.32	3.68	2.19	137.69	21.67	5	5	38.26
38.03	1.704	69.50	3.69	2.21	136.12	21.58	5	5	38.41
38.14	1.699	62.82	3.69	2.20	136.72	21.62	5	5	38.35
39.68	1.633	62.92	3.62	2.12	145.09	22.05	5	5	37.60
38.66	1.676	63.26	3.66	2.17	139.54	21.76	5	5	38.09
38.53	1.682	62.34	3.67	2.18	138.80	21.72	5	5	38.16
38.80	1.67	62.35	3.66	2.17	140.30	21.80	5	5	38.02
39.06	1.659	62.89	3.64	2.15	141.70	21.87	5	5	37.90
39.56	1.638	62.27	3.62	2.12	144.43	22.01	5	5	37.66
39.13	1.656	62.61	3.64	2.15	142.08	21.89	5	5	37.86
38.43	1.686	60.91	3.67	2.19	138.31	21.70	5	5	38.20
39.49	1.641	58.39	3.63	2.13	144.03	21.99	5	5	37.69
39.63	1.635	60.14	3.62	2.12	144.83	22.03	5	5	37.62
39.42	1.644	56.27	3.63	2.13	143.64	21.97	5	5	37.72
39.18	1.654	58.93	3.64	2.14	142.34	21.91	5	5	37.84
40.12	1.615	62.28	3.60	2.09	147.52	22.17	5	5	37.39
40.12	1.615	56.19	3.60	2.09	147.52	22.17	5	5	37.39
39.18	1.654	60.06	3.64	2.14	142.34	21.91	5	5	37.84
40.35	1.606	62.58	3.59	2.08	148.77	22.23	5	5	37.29
38.78	1.671	59.01	3.66	2.17	140.17	21.80	5	5	38.03
40.15	1.614	54.82	3.60	2.09	147.66	22.18	5	5	37.38
38.83	1.669	59.84	3.66	2.16	140.42	21.81	5	5	38.01
39.88	1.625	54.88	3.61	2.11	146.17	22.10	5	5	37.51
39.06	1.659	63.38	3.64	2.15	141.70	21.87	5	5	37.90
40.45	1.602	53.64	3.58	2.08	149.32	22.26	5	5	37.24
37.87	1.711	61.56	3.70	2.22	135.28	21.54	5	5	38.49
38.10	1.701	65.53	3.69	2.21	136.48	21.60	5	5	38.37
37.89	1.71	61.33	3.70	2.22	135.40	21.55	5	5	38.47
38.73	1.673	62.67	3.66	2.17	139.92	21.78	5	5	38.06
38.21	1.696	63.54	3.69	2.20	137.08	21.63	5	5	38.32
37.76	1.716	66.68	3.71	2.22	134.69	21.51	5	5	38.54
38.62	1.678	60.74	3.67	2.18	139.30	21.75	5	5	38.11
39.20	1.653	62.30	3.64	2.14	142.47	21.91	5	5	37.83
38.53	1.682	60.94	3.67	2.18	138.80	21.72	5	5	38.16
38.97	1.663	65.44	3.65	2.16	141.18	21.85	5	5	37.94
38.16	1.698	60.46	3.69	2.20	136.84	21.62	5	5	38.34
38.50	1.683	61.25	3.67	2.18	138.67	21.72	5	5	38.17
